day,file,class,outcome,ref,hold,amount,detail
2026-10-02,flow,over_applied,break,S06B,,-1000,"psp 5000, product 6000"
2026-10-02,stock,wrong_sign,break,,main:hold:invoice:INV-S06B,-1000,"new, 0 days old"
2026-10-02,breaks,over_applied,break,S06B,,-1000,P2 new since 2026-10-02
2026-10-02,breaks,wrong_sign,break,,main:hold:invoice:INV-S06B,-1000,P4 new since 2026-10-02
2026-10-03,flow,over_applied,break,S06B,,-1000,"psp 5000, product 6000"
2026-10-03,stock,open,ok,,main:hold:invoice:INV-S06B,500,"persisting, 1 days old"
2026-10-03,breaks,over_applied,break,S06B,,-1000,P2 persisting since 2026-10-02
2026-10-03,breaks,wrong_sign,ok,,main:hold:invoice:INV-S06B,-1000,P4 resolved on 2026-10-03
2026-10-04,flow,over_applied,break,S06B,,-1000,"psp 5000, product 6000"
2026-10-04,stock,open,ok,,main:hold:invoice:INV-S06B,500,"persisting, 2 days old"
2026-10-04,breaks,over_applied,break,S06B,,-1000,P2 persisting since 2026-10-02
2026-10-05,flow,over_applied,break,S06B,,-1000,"psp 5000, product 6000"
2026-10-05,stock,open,ok,,main:hold:invoice:INV-S06B,500,"persisting, 3 days old"
2026-10-05,breaks,over_applied,break,S06B,,-1000,P2 persisting since 2026-10-02
2026-10-06,flow,over_applied,break,S06B,,-1000,"psp 5000, product 6000"
2026-10-06,stock,open,ok,,main:hold:invoice:INV-S06B,500,"persisting, 4 days old"
2026-10-06,breaks,over_applied,break,S06B,,-1000,P2 persisting since 2026-10-02
2026-10-07,flow,over_applied,break,S06B,,-1000,"psp 5000, product 6000"
2026-10-07,stock,open,ok,,main:hold:invoice:INV-S06B,500,"persisting, 5 days old"
2026-10-07,breaks,over_applied,break,S06B,,-1000,P2 persisting since 2026-10-02
