day,side,prefix,asset,open_prev,opened,lettered,lettered_other,open,holds
2026-10-01,product,main:hold:invoice:,EUR/2,0,71000,40500,0,30500,6
2026-10-01,product,main:hold:invoice:,USD/2,0,17000,12000,0,5000,1
2026-10-01,psp,fpay:stripe:payment:hold:pending:,EUR/2,0,57000,45000,0,12000,3
2026-10-01,psp,fpay:stripe:payment:hold:pending:,USD/2,0,12000,12000,0,0,0
2026-10-02,product,main:hold:invoice:,EUR/2,30500,31000,34000,4500,27500,9
2026-10-02,product,main:hold:invoice:,USD/2,5000,0,0,0,5000,1
2026-10-02,product,main:hold:refund:,EUR/2,0,2000,0,0,2000,1
2026-10-02,psp,fpay:stripe:payment:hold:pending:,EUR/2,12000,30000,36500,0,5500,2
2026-10-02,psp,fpay:stripe:payment:hold:pending:,USD/2,0,5000,5000,0,0,0
2026-10-03,product,main:hold:invoice:,EUR/2,27500,2500,9500,0,20500,5
2026-10-03,product,main:hold:invoice:,USD/2,5000,0,0,0,5000,1
2026-10-03,product,main:hold:refund:,EUR/2,2000,0,2000,0,0,0
2026-10-03,psp,fpay:stripe:payment:hold:pending:,EUR/2,5500,2200,0,0,7700,3
2026-10-03,psp,fpay:stripe:payment:hold:pending:,USD/2,0,0,0,0,0,0
2026-10-04,product,main:hold:invoice:,EUR/2,20500,0,15000,3000,5500,4
2026-10-04,product,main:hold:invoice:,USD/2,5000,0,0,0,5000,1
2026-10-04,product,main:hold:refund:,EUR/2,0,0,0,0,0,0
2026-10-04,psp,fpay:stripe:payment:hold:pending:,EUR/2,7700,3000,6500,0,4200,2
2026-10-04,psp,fpay:stripe:payment:hold:pending:,USD/2,0,0,0,0,0,0
2026-10-05,product,main:hold:invoice:,EUR/2,5500,0,0,0,5500,4
2026-10-05,product,main:hold:invoice:,USD/2,5000,0,0,0,5000,1
2026-10-05,product,main:hold:refund:,EUR/2,0,0,0,0,0,0
2026-10-05,psp,fpay:stripe:payment:hold:pending:,EUR/2,4200,0,0,0,4200,2
2026-10-05,psp,fpay:stripe:payment:hold:pending:,USD/2,0,0,0,0,0,0
2026-10-06,product,main:hold:invoice:,EUR/2,5500,0,0,0,5500,4
2026-10-06,product,main:hold:invoice:,USD/2,5000,0,0,0,5000,1
2026-10-06,product,main:hold:refund:,EUR/2,0,0,0,0,0,0
2026-10-06,psp,fpay:stripe:payment:hold:pending:,EUR/2,4200,0,0,0,4200,2
2026-10-06,psp,fpay:stripe:payment:hold:pending:,USD/2,0,0,0,0,0,0
2026-10-07,product,main:hold:invoice:,EUR/2,5500,0,0,0,5500,4
2026-10-07,product,main:hold:invoice:,USD/2,5000,0,0,0,5000,1
2026-10-07,product,main:hold:refund:,EUR/2,0,0,0,0,0,0
2026-10-07,psp,fpay:stripe:payment:hold:pending:,EUR/2,4200,0,0,0,4200,2
2026-10-07,psp,fpay:stripe:payment:hold:pending:,USD/2,0,0,0,0,0,0
